STA_SEQ,Station_Name,SAMPLE_YR,TYPE,SAMPLE_VALUE,VALUE_UOM
16536,BULLYMUCK BROOK,1991,FISH,16.66666667,FishPer100M
16431,Sprain Brook,2016,FISH,263.2075472,FishPer100M
16431,Sprain Brook,2014,TEMP,17.9138673,DegreeC
16431,Sprain Brook,2017,TEMP,18.04254574,DegreeC
16656,FENN BROOK,1991,FISH,10,FishPer100M
17035,SECOND HILL BROOK,1991,FISH,62,FishPer100M
17035,SECOND HILL BROOK,2016,FISH,24,FishPer100M
17134,"TRANSYLVANIA BROOK, tributary to",1991,FISH,192,FishPer100M
17186,WEWAKA BROOK,2010,FISH,11.33333333,FishPer100M
16124,Flat Brook,2011,FISH,10.37037037,FishPer100M
16124,Flat Brook,2016,FISH,12,FishPer100M
16124,Flat Brook,2007,FISH,20,FishPer100M
16124,Flat Brook,1992,FISH,47,FishPer100M
16124,Flat Brook,2017,TEMP,17.75801313,DegreeC
16124,Flat Brook,2016,TEMP,17.78370205,DegreeC
16124,Flat Brook,2015,TEMP,17.83218443,DegreeC
16124,Flat Brook,2014,TEMP,18.28030888,DegreeC
17144,"EAST BR. NAUGATUCK RIVER, tributary to",1992,FISH,17,FishPer100M
16630,EAST BRANCH SHEPAUG RIVER,1992,FISH,44,FishPer100M
16623,EAST BRANCH LEADMINE BROOK,1992,FISH,62,FishPer100M
16623,EAST BRANCH LEADMINE BROOK,2013,FISH,27.27272727,FishPer100M
15063,Spruce Brook,2010,FISH,13.15789474,FishPer100M
15063,Spruce Brook,2003,FISH,36,FishPer100M
17070,STILL BROOK,1992,FISH,130,FishPer100M
16693,GLEN BROOK,2015,FISH,23.30097087,FishPer100M
17129,"DEEP BROOK, tributary to",1991,FISH,24,FishPer100M
17129,"DEEP BROOK, tributary to",2012,FISH,31.57894737,FishPer100M
17148,"HALL MEADOW BROOK, tributary to",1992,FISH,312,FishPer100M
17148,"HALL MEADOW BROOK, tributary to",2011,FISH,73.01587302,FishPer100M
17148,"HALL MEADOW BROOK, tributary to",2014,FISH,169.1358025,FishPer100M
16554,"CANDLEWOOD LAKE,Tributary to",1991,FISH,62,FishPer100M
16732,HEFFERS BROOK,1992,FISH,163.6363636,FishPer100M
16127,Jakes Brook,2007,FISH,26,FishPer100M
16127,Jakes Brook,2018,FISH,30,FishPer100M
16127,Jakes Brook,2016,FISH,30,FishPer100M
16127,Jakes Brook,2011,FISH,16.34615385,FishPer100M
16127,Jakes Brook,2018,TEMP,17.60248868,DegreeC
16127,Jakes Brook,2013,FISH,74.25742574,FishPer100M
16127,Jakes Brook,2014,TEMP,16.85325462,DegreeC
16127,Jakes Brook,2016,TEMP,15.08280245,DegreeC
16127,Jakes Brook,2011,TEMP,17.50596378,DegreeC
16127,Jakes Brook,2015,TEMP,17.03379212,DegreeC
16127,Jakes Brook,2013,TEMP,17.69583696,DegreeC
16127,Jakes Brook,2017,TEMP,16.33012772,DegreeC
16781,JAKES BROOK,1992,FISH,62.66666667,FishPer100M
17151,"LAKE WARAMAUG BROOK, tributary to",1992,FISH,57.14285714,FishPer100M
16825,MALLORY BROOK,1991,FISH,20.56074766,FishPer100M
15128,Kirby Brook,1991,FISH,11,FishPer100M
14846,Sawmill Brook,2002,FISH,80,FishPer100M
16926,Norwichtown Brook,1993,FISH,20,FishPer100M
16926,Norwichtown Brook,2007,FISH,16,FishPer100M
16930,Oil Mill Brook,1993,FISH,20,FishPer100M
16594,Cranberry Meadow Brook,1993,FISH,190,FishPer100M
16594,Cranberry Meadow Brook,2010,FISH,71.27659574,FishPer100M
16594,Cranberry Meadow Brook,2012,FISH,44,FishPer100M
16594,Cranberry Meadow Brook,2013,FISH,25,FishPer100M
16717,Haleys Brook,1993,FISH,87.33333333,FishPer100M
17318,Jordan Brook,2010,FISH,56,FishPer100M
16946,Pease Brook,1993,FISH,54.66666667,FishPer100M
16276,Latimer Brook,1993,FISH,60.95238095,FishPer100M
16298,Stony Brook,1993,FISH,18,FishPer100M
16472,Anguilla Brook,1993,FISH,20,FishPer100M
17267,Stony Brook,2010,FISH,36,FishPer100M
17267,Stony Brook,2012,FISH,26,FishPer100M
17267,Stony Brook,2009,FISH,10,FishPer100M
17531,Stony Brook,2010,FISH,11.11111111,FishPer100M
16702,Great Brook,1993,FISH,33.33333333,FishPer100M
16661,Fishtown Brook,1993,FISH,16,FishPer100M
14263,Kahn Brook,2014,FISH,11.45038168,FishPer100M
14263,Kahn Brook,2012,FISH,33.84615385,FishPer100M
14263,Kahn Brook,2007,FISH,22,FishPer100M
14263,Kahn Brook,2014,TEMP,16.75130933,DegreeC
16606,Deep River,1993,FISH,11.81818182,FishPer100M
16645,Falls Brook,2013,FISH,10,FishPer100M
16645,Falls Brook,1993,FISH,52,FishPer100M
14860,Flat Brook,2002,FISH,85.59322034,FishPer100M
14860,Flat Brook,1993,FISH,46.66666667,FishPer100M
16613,Donahue Brook,1993,FISH,12,FishPer100M
16787,"Jordan Brook,Tributary to",1993,FISH,100,FishPer100M
15543,Pease Brook,1993,FISH,21.33333333,FishPer100M
15543,Pease Brook,2009,FISH,11.42857143,FishPer100M
15543,Pease Brook,2014,FISH,35.71428571,FishPer100M
17123,Trading Cove Brook,1993,FISH,10,FishPer100M
17187,Wheeler Brook,1993,FISH,76,FishPer100M
17187,Wheeler Brook,2017,FISH,12.66666667,FishPer100M
16072,Trading Cove Brook,2007,FISH,25,FishPer100M
16759,Hoxie Brook,1993,FISH,20,FishPer100M
17796,CROWLEY Brook,2007,FISH,10,FishPer100M
17796,CROWLEY Brook,2014,FISH,231.4814815,FishPer100M
16607,Deep River,1993,FISH,58,FishPer100M
15252,Joe Clark Brook,1993,FISH,302,FishPer100M
16931,Oil Mill Brook,1993,FISH,12.79069767,FishPer100M
17013,Rose Brook,1993,FISH,88,FishPer100M
17084,Stony Brook,1993,FISH,110,FishPer100M
14774,Bride Brook,2001,FISH,84,FishPer100M
14774,Bride Brook,2010,FISH,128,FishPer100M
14774,Bride Brook,2012,FISH,188,FishPer100M
17532,Bride Brook,2012,FISH,212,FishPer100M
15754,Copps Brook,1993,FISH,330.4347826,FishPer100M
15015,Seth Williams Brook,1993,FISH,20,FishPer100M
17201,Willys Meadow Brook,1993,FISH,17,FishPer100M
16668,Ford Brook,1993,FISH,18,FishPer100M
16299,Hunts brook,2010,FISH,10.37735849,FishPer100M
17000,Red Brook,1993,FISH,148,FishPer100M
15236,Eccelston Brook,1993,FISH,65.625,FishPer100M
14731,Trading Cove Brook,2014,FISH,19.35483871,FishPer100M
16297,Stony Brook,1993,FISH,60.74766355,FishPer100M
16297,Stony Brook,2009,FISH,13.33333333,FishPer100M
17085,Stony Brook,1993,FISH,78,FishPer100M
16690,Gillette Brook,1993,FISH,196,FishPer100M
16192,Trading Cove Brook,2012,FISH,18,FishPer100M
16192,Trading Cove Brook,2014,FISH,68.66666667,FishPer100M
16192,Trading Cove Brook,1993,FISH,61.14649682,FishPer100M
16192,Trading Cove Brook,2011,FISH,117.0940171,FishPer100M
16192,Trading Cove Brook,2006,FISH,30,FishPer100M
16786,Jordan Brook,1993,FISH,184.8920863,FishPer100M
16786,Jordan Brook,2013,FISH,15.88785047,FishPer100M
16786,Jordan Brook,2014,FISH,32.98969072,FishPer100M
16786,Jordan Brook,2010,FISH,63.36633663,FishPer100M
16767,Hunts Brook,1993,FISH,24,FishPer100M
16769,"Hunts Brook,Tributary to",1993,FISH,28.30188679,FishPer100M
16969,"Pine Swamp Brook, tributary to",1993,FISH,289.0909091,FishPer100M
17194,"Williams Brook, Tributary to",1993,FISH,20,FishPer100M
17116,Thompson Brook,1993,FISH,294,FishPer100M
16295,Latimer Brook,1993,FISH,12,FishPer100M
15215,Thompson Brook,2009,TEMP,17.63085462,DegreeC
15215,Thompson Brook,2008,FISH,84.51612903,FishPer100M
16539,BUNNELL BROOK,2017,FISH,55,FishPer100M
16539,BUNNELL BROOK,1988,FISH,15,FishPer100M
16387,Hurricane Brook,2014,TEMP,16.16730471,DegreeC
16387,Hurricane Brook,2017,TEMP,15.87722192,DegreeC
16387,Hurricane Brook,2015,TEMP,16.27113444,DegreeC
16387,Hurricane Brook,2012,FISH,30.52631579,FishPer100M
16387,Hurricane Brook,2013,TEMP,16.93274366,DegreeC
16387,Hurricane Brook,2018,TEMP,17.09208469,DegreeC
16387,Hurricane Brook,2014,FISH,15.2866242,FishPer100M
16387,Hurricane Brook,2016,TEMP,16.19261551,DegreeC
15795,FARMINGTON RIVER,2017,TEMP,16.19464194,DegreeC
15795,FARMINGTON RIVER,2015,TEMP,15.86984828,DegreeC
15795,FARMINGTON RIVER,2012,FISH,11.66666667,FishPer100M
15795,FARMINGTON RIVER,2018,TEMP,15.87916712,DegreeC
15795,FARMINGTON RIVER,2013,TEMP,17.61579257,DegreeC
15795,FARMINGTON RIVER,2014,TEMP,16.68413617,DegreeC
15795,FARMINGTON RIVER,2016,TEMP,17.92614493,DegreeC
16258,West Branch Farmington River,2015,TEMP,11.34316033,DegreeC
16258,West Branch Farmington River,2014,TEMP,13.07642799,DegreeC
16258,West Branch Farmington River,2016,TEMP,12.62058786,DegreeC
16258,West Branch Farmington River,2008,FISH,62,FishPer100M
16258,West Branch Farmington River,2012,FISH,16,FishPer100M
16258,West Branch Farmington River,2013,TEMP,14.74429937,DegreeC
15792,West Branch Farmington River,2018,TEMP,10.98656975,DegreeC
15792,West Branch Farmington River,2013,TEMP,14.64215761,DegreeC
15792,West Branch Farmington River,2015,TEMP,11.65019601,DegreeC
15792,West Branch Farmington River,2016,TEMP,13.02574094,DegreeC
15792,West Branch Farmington River,2014,TEMP,13.17301602,DegreeC
15792,West Branch Farmington River,2017,TEMP,12.4073596,DegreeC
17365,Farmington River,2018,TEMP,18.22566712,DegreeC
17365,Farmington River,2017,TEMP,18.17671603,DegreeC
15793,West Branch Farmington River,2016,TEMP,15.21552672,DegreeC
15793,West Branch Farmington River,2014,TEMP,16.14907518,DegreeC
15793,West Branch Farmington River,2015,TEMP,15.22010598,DegreeC
15793,West Branch Farmington River,2013,TEMP,17.70429121,DegreeC
14402,Poland River,2012,FISH,12.43243243,FishPer100M
17121,TORRINGFORD BROOK,1988,FISH,116,FishPer100M
15794,West Branch Farmington River,2010,FISH,15.48387097,FishPer100M
16239,West Branch Farmington River,2014,TEMP,16.83803966,DegreeC
16239,West Branch Farmington River,2012,FISH,24,FishPer100M
16239,West Branch Farmington River,2013,TEMP,17.57855571,DegreeC
16239,West Branch Farmington River,2015,TEMP,15.49809783,DegreeC
16239,West Branch Farmington River,2016,TEMP,17.5875702,DegreeC
16160,"East Branch Salmon Brook, tributary to",2007,FISH,70,FishPer100M
16502,BELDEN BROOK,1988,FISH,11,FishPer100M
16502,BELDEN BROOK,2016,FISH,37.86407767,FishPer100M
16502,BELDEN BROOK,2016,TEMP,17.0205317,DegreeC
16502,BELDEN BROOK,2012,FISH,83.33333333,FishPer100M
